"destino" "tempo" "distancia" "destino.1" "tempo.1" "distancia.1" "destino.2" "tempo.2" "distancia.2" "destino.3" "tempo.3" "distancia.3" "destino.4" "tempo.4" "distancia.4" "destino.5" "tempo.5" "distancia.5" "destino.6" "tempo.6" "distancia.6" "destino.7" "tempo.7" "distancia.7" "destino.8" "tempo.8" "distancia.8" "destino.9" "tempo.9" "distancia.9" "destino.10" "tempo.10" "distancia.10"
"67" 146 0.2 13.9 146 0.2 13.9 146 0.2 13.9 146 0.2 13.9 146 0.2 13.9 34 0.1 5.8 146 0.2 13.9 146 0.2 13.9 146 0.2 13.9 146 0.2 13.9 146 0.2 13.9
"68" 192 0.1 5 95 0.1 2.8 107 0 1 107 0 1 107 0 1 107 0 1 107 0 1 95 0.1 2.8 107 0 1 107 0 1 107 0 1
"69" 32 0 3 32 0 3 32 0 3 32 0 3 32 0 3 32 0 3 29 0.2 9.2 29 0.2 9.2 29 0.2 9.2 29 0.2 9.2 29 0.2 9.2
"70" 107 0.1 7.3 107 0.1 7.3 109 0.1 7.1 235 0.1 5.1 140 0 3 140 0 3 95 0.2 4 107 0.1 7.3 95 0.2 4 95 0.2 4 68 0.3 6.3
"71" 212 0.1 4.1 212 0.1 4.1 212 0.1 4.1 212 0.1 4.1 212 0.1 4.1 212 0.1 4.1 212 0.1 4.1 92 0.1 3.2 92 0.1 3.2 92 0.1 3.2 92 0.1 3.2
"72" 246 0.1 5.8 113 0.1 9.9 104 0.1 8.5 113 0.1 9.9 113 0.1 9.9 104 0.1 8.5 104 0.1 8.5 104 0.1 8.5 246 0.1 5.8 246 0.1 5.8 246 0.1 5.8
"73" 215 0 2.2 34 0.1 10.8 1 0.1 3.6 34 0.1 10.8 34 0.1 10.8 1 0.1 3.6 215 0 2.2 215 0 2.2 215 0 2.2 215 0 2.2 1 0.1 3.6
"74" 17 0.1 4.1 77 0 3.2 77 0 3.2 77 0 3.2 77 0 3.2 17 0.1 4.1 17 0.1 4.1 17 0.1 4.1 17 0.1 4.1 77 0 3.2 17 0.1 4.1
"75" 122 0 3.2 122 0 3.2 122 0 3.2 122 0 3.2 21 0.1 10.4 122 0 3.2 200 0.3 9.2 245 0.5 11.2 122 0 3.2 21 0.1 10.4 108 0.3 9.4
"76" 38 0.1 7 99 0.1 3.2 136 0 2.2 99 0.1 3.2 99 0.1 3.2 102 0.1 8.5 99 0.1 3.2 99 0.1 3.2 99 0.1 3.2 99 0.1 3.2 99 0.1 3.2
"77" 240 0.1 5 17 0.1 3.6 17 0.1 3.6 17 0.1 3.6 17 0.1 3.6 74 0.2 3.2 74 0.2 3.2 74 0.2 3.2 74 0.2 3.2 216 0.1 6.1 74 0.2 3.2
"78" 159 0.1 2.2 7 0.1 7.3 172 0.1 2.8 159 0.1 2.2 242 0.1 9 149 0.1 5.8 159 0.1 2.2 159 0.1 2.2 159 0.1 2.2 149 0.1 5.8 159 0.1 2.2
"79" 83 0.1 8.5 83 0.1 8.5 199 0.1 3.6 83 0.1 8.5 14 0.2 5.7 14 0.2 5.7 83 0.1 8.5 14 0.2 5.7 14 0.2 5.7 199 0.1 3.6 14 0.2 5.7
"80" 188 0.1 10.6 188 0.1 10.6 153 0.1 3.6 188 0.1 10.6 188 0.1 10.6 188 0.1 10.6 188 0.1 10.6 188 0.1 10.6 163 0.1 6 163 0.1 6 188 0.1 10.6
"81" 176 0.1 2.2 176 0.1 2.2 187 0.1 3.6 176 0.1 2.2 155 0.1 5 176 0.1 2.2 176 0.1 2.2 176 0.1 2.2 176 0.1 2.2 176 0.1 2.2 176 0.1 2.2
"82" 31 0.2 5.1 31 0.2 5.1 31 0.2 5.1 31 0.2 5.1 31 0.2 5.1 49 0.2 12.8 31 0.2 5.1 31 0.2 5.1 31 0.2 5.1 31 0.2 5.1 31 0.2 5.1
"83" 14 0 2.8 14 0 2.8 128 0.1 9.8 14 0 2.8 128 0.1 9.8 128 0.1 9.8 14 0 2.8 128 0.1 9.8 128 0.1 9.8 128 0.1 9.8 128 0.1 9.8
"84" 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1 197 0.1 7.1
"85" 133 0.3 8 24 0.1 3.2 110 0 3 220 0.1 6.7 110 0 3 220 0.1 6.7 220 0.1 6.7 139 0.1 2.2 133 0.3 8 133 0.3 8 133 0.3 8
"86" 100 0.1 5 100 0.1 5 198 0.2 7.3 100 0.1 5 100 0.1 5 100 0.1 5 100 0.1 5 100 0.1 5 100 0.1 5 100 0.1 5 100 0.1 5
"87" 226 0.1 2.2 116 0 3.2 7 0.1 8.5 7 0.1 8.5 226 0.1 2.2 226 0.1 2.2 226 0.1 2.2 226 0.1 2.2 78 0.2 5.1 226 0.1 2.2 226 0.1 2.2
"88" 28 0 4.1 28 0 4.1 28 0 4.1 28 0 4.1 28 0 4.1 202 0.1 6.3 97 0.2 14 28 0 4.1 28 0 4.1 28 0 4.1 28 0 4.1
"89" 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7 214 0.3 24.7
"90" 22 0.1 4.1 171 0.1 5 22 0.1 4.1 150 0.2 8.1 22 0.1 4.1 171 0.1 5 22 0.1 4.1 171 0.1 5 171 0.1 5 171 0.1 5 22 0.1 4.1
"91" 114 0.1 5.8 114 0.1 5.8 114 0.1 5.8 114 0.1 5.8 46 0.2 3.6 114 0.1 5.8 114 0.1 5.8 114 0.1 5.8 114 0.1 5.8 114 0.1 5.8 46 0.2 3.6
"92" 71 0 3.2 71 0 3.2 71 0 3.2 71 0 3.2 71 0 3.2 71 0 3.2 71 0 3.2 212 0.1 2.2 212 0.1 2.2 212 0.1 2.2 212 0.1 2.2
"93" 244 0 1 244 0 1 244 0 1 244 0 1 244 0 1 244 0 1 244 0 1 132 0.3 9.1 132 0.3 9.1 244 0 1 244 0 1
"94" 184 0.1 5 184 0.1 5 10 0.2 5 184 0.1 5 10 0.2 5 184 0.1 5 184 0.1 5 184 0.1 5 184 0.1 5 184 0.1 5 184 0.1 5
"95" 178 0.1 11 235 0.1 9.1 246 0.2 10.3 140 0.1 5 70 0.1 4 68 0.1 2.8 68 0.1 2.8 109 0.1 5.1 68 0.1 2.8 68 0.1 2.8 109 0.1 5.1
"96" 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5 54 0.1 8.5
